City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-09-30 21:05:43,77.484,-69.3632,26.49,88,100,11.45
1,Belyy Yar,RU,2021-09-30 21:05:44,53.6039,91.3903,44.49,93,40,6.71
2,Klaksvik,FO,2021-09-30 21:05:44,62.2266,-6.589,52.72,92,99,23.71
3,Viedma,AR,2021-09-30 21:05:44,-40.8135,-62.9967,67.98,19,3,12.55
4,Hobyo,SO,2021-09-30 21:05:45,5.3505,48.5268,78.13,89,98,20.76
5,Mar Del Plata,AR,2021-09-30 21:04:47,-38.0023,-57.5575,61.0,46,100,8.99
6,Punta Arenas,CL,2021-09-30 21:05:45,-53.15,-70.9167,44.11,52,94,19.91
7,Charters Towers,AU,2021-09-30 21:05:45,-20.1,146.2667,67.39,87,91,9.31
8,Tasiilaq,GL,2021-09-30 21:03:15,65.6145,-37.6368,35.76,82,2,7.2
9,Stromness,GB,2021-09-30 21:05:46,58.965,-3.296,53.56,84,39,10.0
10,Guerrero Negro,MX,2021-09-30 21:02:09,27.9769,-114.0611,74.39,53,0,11.5
11,Rikitea,PF,2021-09-30 21:03:02,-23.1203,-134.9692,72.79,73,2,18.97
12,Kyabram,AU,2021-09-30 21:05:47,-36.3167,145.05,52.88,98,67,6.38
13,Butaritari,KI,2021-09-30 21:03:28,3.0707,172.7902,81.68,76,100,12.26
14,Cherskiy,RU,2021-09-30 21:05:47,68.75,161.3,11.46,98,99,5.53
15,Ostrovnoy,RU,2021-09-30 21:05:47,68.0531,39.5131,42.62,87,100,5.55
16,Ushuaia,AR,2021-09-30 21:01:39,-54.8,-68.3,42.1,60,100,4.45
17,Izvoarele Sucevei,RO,2021-09-30 21:05:48,47.75,25.1833,41.0,88,100,3.24
18,Tevaitoa,PF,2021-09-30 21:05:48,-16.7833,-151.5,78.87,73,7,17.45
19,Cape Town,ZA,2021-09-30 21:01:11,-33.9258,18.4232,61.27,76,0,9.46
20,Bluff,NZ,2021-09-30 21:03:26,-46.6,168.3333,50.81,81,65,20.49
21,Vestmannaeyjar,IS,2021-09-30 21:03:04,63.4427,-20.2734,42.58,74,100,20.83
22,Albany,US,2021-09-30 21:05:21,42.6001,-73.9662,57.81,84,98,7.14
23,Coquimbo,CL,2021-09-30 21:01:23,-29.9533,-71.3436,60.12,63,0,10.07
24,Jamestown,US,2021-09-30 21:05:49,42.097,-79.2353,60.12,69,75,5.99
25,Vaini,TO,2021-09-30 21:03:10,-21.2,-175.2,72.61,75,100,15.79
26,Karratha,AU,2021-09-30 21:05:50,-20.7377,116.8463,72.07,57,9,13.85
27,Ballina,AU,2021-09-30 21:05:11,-28.8667,153.5667,63.79,83,100,7.52
28,Upernavik,GL,2021-09-30 21:02:57,72.7868,-56.1549,32.72,85,100,13.82
29,Mataura,NZ,2021-09-30 21:05:50,-46.1927,168.8643,50.49,76,100,4.16
30,Longyearbyen,SJ,2021-09-30 21:03:14,78.2186,15.6401,31.84,93,40,2.3
31,Kaitangata,NZ,2021-09-30 21:03:46,-46.2817,169.8464,52.93,64,96,11.12
32,Carnarvon,AU,2021-09-30 21:05:51,-24.8667,113.6333,69.87,88,75,10.36
33,Puerto Madryn,AR,2021-09-30 21:05:52,-42.7692,-65.0385,64.31,28,98,27.96
34,Pavlodar,KZ,2021-09-30 21:05:52,52.3,76.95,39.0,93,90,8.95
35,Hilo,US,2021-09-30 21:05:52,19.7297,-155.09,79.79,94,90,5.75
36,Barrow,US,2021-09-30 21:01:36,71.2906,-156.7887,30.22,69,75,11.5
37,La Ronge,CA,2021-09-30 21:05:53,55.1001,-105.2842,64.8,34,81,11.68
38,Chulym,RU,2021-09-30 21:05:53,55.0997,80.9572,36.3,94,98,6.2
